customer_id,name,plan_type,is_premium,tenure_months,avg_monthly_arpu_inr,complaints_last_90d,offers_availed_last_180d,data_usage_gb_trend,last_recharge_days_ago,bill_payment_delays_count,network_issue_tickets,call_drop_rate_pct,last_outage_days_ago,app_logins_last_30d,loyalty_points_balance,family_plan_members,port_out_request_flag
C0001,Ravi Sharma,postpaid,True,96,1800.0,0,2,rising,,0.0,0,0.5,220,25,8500,3,False
C0002,Priya Kapoor,prepaid,False,60,450.0,0,1,flat,2.0,,0,0.8,180,18,3200,0,False
C0003,Anjali Mehta,postpaid,False,18,700.0,1,0,flat,,1.0,1,2.5,45,8,800,1,False
C0004,Arjun Reddy,prepaid,False,30,350.0,2,1,flat,12.0,,1,3.0,30,6,600,0,False
C0005,Sneha Iyer,postpaid,False,12,850.0,5,0,falling,,3.0,3,7.5,8,2,200,0,False
C0006,Vikram Singh,prepaid,False,8,280.0,6,0,falling,50.0,,4,9.0,3,1,150,0,False
C0007,Neha Bhatt,postpaid,True,36,1200.0,7,0,falling,,4.0,5,11.0,2,0,100,2,True
C0008,Karan Patel,prepaid,False,24,320.0,8,0,falling,55.0,,5,13.5,1,0,50,0,True
C0009,Aryan Maharaj,postpaid,True,36,725.5,0,2,flat,,0.0,1,0.5,47,13,3811,0,False
C0010,Udant Dewan,prepaid,False,70,1135.87,0,3,falling,21.0,,0,6.3,142,9,3527,5,False
C0011,Gagan Sami,prepaid,False,46,2141.61,3,2,flat,45.0,,5,5.7,282,18,5925,0,False
C0012,Ayushman Chander,prepaid,False,99,830.06,0,0,rising,44.0,,1,5.5,189,22,3432,1,False
C0013,Viraj Tiwari,postpaid,False,78,1642.2,0,1,rising,,2.0,4,10.3,112,43,5313,3,False
C0014,Rushil Saini,prepaid,True,41,1092.74,5,2,flat,15.0,,0,7.5,329,29,2340,0,False
C0015,Saumya Mall,postpaid,False,96,1523.78,0,0,falling,,0.0,1,1.4,24,55,1796,0,False
C0016,Nathaniel Sami,postpaid,False,50,1046.81,1,5,falling,,2.0,0,10.8,349,56,8797,2,False
C0017,Arunima Dugal,prepaid,False,21,1216.25,4,0,flat,9.0,,0,13.7,320,19,8317,1,False
C0018,Gayathri Chaudry,prepaid,False,100,2317.72,1,1,rising,36.0,,0,14.8,157,15,949,0,False
C0019,Lajita Chatterjee,postpaid,True,63,2067.65,1,0,flat,,0.0,4,2.5,270,55,9938,0,False
C0020,Hemangini Lalla,prepaid,False,26,1825.43,2,1,falling,14.0,,0,3.7,32,21,344,0,False
C0021,Tripti Yadav,prepaid,True,91,1633.09,4,3,rising,56.0,,0,10.0,109,34,2167,2,False
C0022,Kritika Brar,prepaid,False,101,1261.49,0,2,flat,46.0,,0,13.0,27,43,1612,0,False
C0023,Janaki Handa,prepaid,False,32,600.24,0,0,flat,34.0,,3,1.1,281,6,828,1,False
C0024,Chakradev Kari,postpaid,False,119,1920.88,1,1,falling,,2.0,4,2.5,1,24,4345,4,False
C0025,Fariq Kaul,prepaid,False,94,2489.24,2,0,rising,37.0,,5,8.7,277,3,5138,0,False
C0026,Lajita Mall,prepaid,False,68,519.97,0,0,flat,38.0,,1,3.5,61,60,9333,0,False
C0027,Janya Gaba,prepaid,True,85,1521.63,5,0,flat,59.0,,0,5.9,343,41,4915,0,False
C0028,Isha Kadakia,postpaid,True,59,1609.72,0,1,flat,,0.0,0,5.2,35,56,4002,0,False
C0029,Ekbal Garg,postpaid,False,79,2462.06,1,2,flat,,2.0,4,1.6,68,16,1891,4,False
C0030,Nihal Shere,prepaid,False,27,1836.39,2,0,flat,2.0,,4,12.7,47,40,6939,3,False
C0031,Anamika Kanda,prepaid,False,82,2452.53,1,2,flat,53.0,,0,14.2,353,57,2442,0,False
C0032,Daksh Karnik,prepaid,False,56,449.5,4,3,falling,35.0,,3,3.2,127,42,1684,0,False
C0033,Diya Rattan,postpaid,False,80,1911.27,0,0,falling,,1.0,0,6.2,91,47,5442,2,False
C0034,Dominic Kakar,postpaid,False,32,776.99,0,4,falling,,3.0,0,12.2,235,22,5000,3,False
C0035,Simon Tata,prepaid,False,52,921.42,6,0,flat,16.0,,0,14.7,274,21,452,0,False
C0036,Tara Dhar,prepaid,False,34,239.9,0,3,flat,27.0,,5,1.7,295,12,4173,0,False
C0037,Liam Koshy,prepaid,False,69,1764.11,2,0,flat,19.0,,4,13.8,319,20,2041,2,False
C0038,Priya Rastogi,prepaid,False,42,1095.64,0,1,falling,53.0,,1,13.5,315,36,4930,0,False
C0039,Theodore Devi,prepaid,False,56,1996.53,0,1,flat,42.0,,1,11.9,86,42,1389,0,False
C0040,Gavin Batta,postpaid,False,105,2387.2,0,3,rising,,3.0,0,14.8,312,54,1193,0,False
C0041,Michael Dutta,prepaid,False,50,1311.79,2,0,falling,44.0,,2,1.6,217,14,2881,3,False
C0042,Devansh Rajan,prepaid,True,32,2306.05,0,1,flat,58.0,,1,4.8,226,39,8270,0,False
C0043,Upadhriti Wadhwa,prepaid,False,96,2174.51,3,3,rising,18.0,,2,7.3,122,17,7206,0,False
C0044,Advay Contractor,prepaid,False,115,1419.36,0,2,flat,53.0,,0,6.1,277,29,6812,0,False
C0045,Harini Choudhury,prepaid,False,75,2373.25,4,2,flat,47.0,,4,4.5,199,54,6865,0,True
C0046,Radhika Dugar,prepaid,False,29,1297.34,1,1,flat,34.0,,2,10.9,239,58,2091,6,False
C0047,Aarush Lall,prepaid,False,73,1708.05,1,3,rising,24.0,,0,4.9,232,20,5529,2,False
C0048,Yashica Cherian,prepaid,False,54,742.84,0,1,falling,12.0,,0,9.8,333,2,508,5,False
C0049,Yashica Issac,postpaid,False,31,446.62,1,0,flat,,0.0,2,2.5,310,47,1876,2,False
C0050,Kashvi Edwin,prepaid,False,119,883.1,6,1,flat,19.0,,0,10.4,321,15,1669,1,False
C0051,Ekiya Suresh,postpaid,False,16,2021.13,0,1,flat,,0.0,0,9.7,6,54,6882,3,False
C0052,Isaac Patil,postpaid,False,107,1230.39,0,1,flat,,1.0,1,13.8,247,29,7136,3,False
C0053,Wriddhish Bhardwaj,prepaid,False,120,353.66,0,1,flat,51.0,,0,0.4,166,11,7988,0,False
C0054,Farhan Chada,prepaid,False,77,1797.78,0,4,rising,31.0,,2,7.3,123,44,7800,1,False
C0055,Ekapad Walia,prepaid,True,38,670.75,0,2,flat,17.0,,1,6.4,281,21,5764,2,False
C0056,Kabir Soman,prepaid,False,93,602.57,1,3,rising,6.0,,0,7.3,301,48,8595,0,False
C0057,Alka Wable,postpaid,False,47,571.69,1,0,falling,,0.0,1,10.5,64,40,8042,0,True
C0058,Siddharth Zacharia,prepaid,False,44,583.25,5,1,falling,51.0,,0,1.1,322,43,878,0,False
C0059,Devika Rastogi,prepaid,False,32,428.36,2,3,rising,19.0,,1,6.8,226,19,9642,6,False
C0060,Raksha Varughese,prepaid,True,95,383.2,2,0,rising,38.0,,0,8.3,80,0,6693,0,False
C0061,Jai Kota,prepaid,True,37,1811.35,1,2,falling,34.0,,2,9.4,338,51,3241,0,False
C0062,Devansh Nigam,prepaid,True,35,2092.58,0,1,flat,60.0,,1,4.3,63,29,4982,1,False
C0063,Victor Kannan,prepaid,False,57,339.04,1,1,rising,43.0,,0,14.4,294,37,339,6,True
C0064,Ekavir Bhargava,postpaid,False,98,1927.23,2,4,rising,,0.0,1,9.5,251,5,7700,0,False
C0065,Ekansh Balay,postpaid,False,43,1117.37,2,1,falling,,1.0,0,1.3,129,20,1899,5,False
C0066,Ekavir Varkey,prepaid,False,85,2193.01,0,1,flat,59.0,,0,6.6,26,13,4375,0,False
C0067,Arya Sunder,prepaid,False,63,435.35,2,0,rising,7.0,,1,8.3,47,14,1858,0,False
C0068,Kevin Solanki,postpaid,False,120,1834.02,0,3,falling,,3.0,0,8.3,196,12,9820,0,False
C0069,Urvashi Ray,postpaid,False,102,2157.87,3,0,rising,,1.0,2,12.6,296,42,8022,3,False
C0070,Girindra Chatterjee,prepaid,False,98,1427.06,0,0,flat,45.0,,1,3.5,210,2,5213,2,False
C0071,Irya Sampath,postpaid,False,85,2012.13,0,5,rising,,4.0,5,5.0,51,55,7213,0,False
C0072,Unni Bhagat,prepaid,True,112,1688.74,1,5,rising,20.0,,1,9.7,168,54,8742,0,False
C0073,Darsh Rau,postpaid,False,63,2200.1,0,2,falling,,2.0,5,11.2,222,6,1646,0,True
C0074,Ikbal Kothari,postpaid,True,102,281.88,1,0,flat,,1.0,1,2.7,89,5,9985,3,False
C0075,Ranveer Yadav,prepaid,False,19,695.64,1,2,falling,22.0,,0,4.3,279,10,1210,0,False
C0076,Logan Sami,postpaid,False,55,1772.24,0,5,falling,,0.0,0,5.7,183,36,4847,6,False
C0077,Arya Shere,postpaid,False,36,169.03,3,5,falling,,0.0,2,12.5,146,49,3770,1,False
C0078,Faqid Savant,postpaid,False,87,1925.61,2,0,rising,,0.0,1,0.6,225,2,9495,0,False
C0079,Chandresh Zachariah,postpaid,False,54,562.75,1,5,flat,,0.0,4,12.5,131,58,7894,5,False
C0080,Girik Khalsa,postpaid,False,60,2412.8,6,3,flat,,0.0,5,14.5,285,23,1479,2,False
C0081,Niharika Sunder,prepaid,False,87,1910.18,0,2,flat,39.0,,1,7.1,317,56,9198,0,False
C0082,Tanay Rattan,prepaid,True,106,1241.03,2,0,rising,8.0,,0,14.9,59,6,3846,4,False
C0083,Nitesh Raghavan,prepaid,False,96,1786.74,1,2,falling,23.0,,1,12.5,315,26,4583,0,False
C0084,Madhavi Lanka,prepaid,False,31,2160.31,2,1,falling,13.0,,0,6.0,97,7,7450,0,False
C0085,Bhavika Sampath,postpaid,False,3,268.86,7,3,rising,,0.0,3,8.3,300,13,3817,0,False
C0086,Mohammed Gupta,postpaid,True,110,2462.47,1,3,rising,,0.0,3,2.0,183,50,3898,0,False
C0087,Teerth Bhardwaj,prepaid,True,54,1386.3,1,3,flat,41.0,,0,7.6,314,2,8543,0,False
C0088,Dipta Bhandari,postpaid,True,62,2141.15,0,2,flat,,1.0,3,4.8,75,4,2067,0,False
C0089,Vansha Thakkar,prepaid,False,77,1396.81,2,0,flat,56.0,,3,9.8,282,46,3522,0,False
C0090,Dakshesh Trivedi,prepaid,False,59,1087.02,0,1,rising,5.0,,4,10.3,242,4,1494,3,False
C0091,Quincy Biswas,prepaid,False,48,2057.66,1,2,rising,46.0,,0,5.3,340,60,6929,3,False
C0092,Wahab Raval,prepaid,False,40,976.37,0,2,rising,51.0,,0,12.7,188,7,4564,0,False
C0093,Yatin Baral,prepaid,False,99,2073.3,2,0,falling,22.0,,3,4.0,92,17,5062,4,False
C0094,Oni Virk,prepaid,False,73,1694.76,2,5,rising,46.0,,1,5.6,232,21,2578,0,False
C0095,Advika Jayaraman,prepaid,False,77,349.65,0,2,flat,13.0,,0,9.9,248,38,7242,0,False
C0096,William Lanka,postpaid,True,56,410.59,1,1,rising,,0.0,0,14.8,28,0,3349,0,False
C0097,Karan Mital,prepaid,False,42,431.96,1,0,flat,55.0,,0,8.4,342,51,5802,0,False
C0098,Diya Bora,postpaid,False,59,2314.73,1,2,flat,,1.0,0,1.7,10,20,2815,3,False
C0099,Tara Chaudhry,postpaid,False,12,1176.27,1,1,rising,,1.0,3,11.2,113,21,2754,0,False
C0100,Tanay Toor,prepaid,False,100,971.03,3,3,rising,49.0,,0,3.0,308,9,1234,0,False
C0101,Kevin Palla,postpaid,False,73,1935.71,5,2,flat,,1.0,1,13.0,321,20,2473,0,False
C0102,Yash Pingle,postpaid,False,76,282.0,0,1,rising,,1.0,3,1.2,46,39,9733,0,False
C0103,Nakul Sarma,prepaid,False,115,246.4,1,0,flat,5.0,,1,14.4,230,6,5626,6,False
C0104,Abhiram Mistry,prepaid,False,32,1812.91,1,2,flat,40.0,,4,5.8,173,43,9795,0,False
C0105,Krish Lalla,postpaid,True,13,1461.21,0,3,falling,,0.0,1,2.3,41,37,2317,4,False
C0106,Hredhaan Dugal,postpaid,False,17,1548.35,0,1,falling,,2.0,2,10.1,350,58,8624,0,False
